Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
NVDA,NVIDIA Corporation,Electronic Technology,Semiconductors,Technology,XLK,10
MSFT,Microsoft Corporation,Technology Services,Packaged Software,Technology,XLK,10
AAPL,Apple Inc.,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
GOOGL,Alphabet Inc. Class A,Technology Services,Internet Software/Services,Communication Services,XLC,2
GOOG,Alphabet Inc. Class C,Technology Services,Internet Software/Services,Communication Services,XLC,2
AMZN,Amazon.com Inc.,Retail Trade,Internet Retail,Consumer Discretionary,XLY,3
META,Meta Platforms Inc.,Technology Services,Internet Software/Services,Communication Services,XLC,2
AVGO,Broadcom Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
TSLA,Tesla Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
BRKB,Berkshire Hathaway Inc.,Finance,Financial Conglomerates,Financial,XLF,5
JPM,JPMorgan Chase & Co.,Finance,Major Banks,Financial,XLF,5
WMT,Walmart Inc.,Retail Trade,Food Retail,Consumer Staples,XLP,4
ORCL,Oracle Corporation,Technology Services,Packaged Software,Technology,XLK,10
V,Visa Inc.,Technology Services,Data Processing Services,Financial,XLF,5
LLY,Eli Lilly and Company,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
MA,Mastercard Incorporated,Technology Services,Data Processing Services,Financial,XLF,5
NFLX,Netflix Inc.,Consumer Services,Movies/Entertainment,Communication Services,XLC,2
XOM,Exxon Mobil Corporation,Energy Minerals,Integrated Oil,Energy,XLE,1
COST,Costco Wholesale Corporation,Retail Trade,Food Retail,Consumer Staples,XLP,4
JNJ,Johnson & Johnson,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
PLTR,Palantir Technologies Inc.,Technology Services,Packaged Software,Technology,XLK,10
HD,The Home Depot Inc.,Retail Trade,Home Improvement Chains,Consumer Discretionary,XLY,3
ABBV,AbbVie Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
PG,The Procter & Gamble Company,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
BAC,Bank of America Corporation,Finance,Major Banks,Financial,XLF,5
CVX,Chevron Corporation,Energy Minerals,Integrated Oil,Energy,XLE,1
KO,The Coca-Cola Company,Consumer Non-durables,Beverages: Non-Alcoholic,Consumer Staples,XLP,4
AMD,Advanced Micro Devices Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
TMUS,T-Mobile US Inc.,Communications,Wireless Telecommunications,Communication Services,XLC,2
GE,General Electric Company,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
UNH,UnitedHealth Group Incorporated,Health Services,Managed Health Care,Health Care,XLV,6
CSCO,Cisco Systems Inc.,Electronic Technology,Telecommunications Equipment,Technology,XLK,10
PM,Philip Morris International Inc.,Consumer Non-durables,Tobacco,Consumer Staples,XLP,4
WFC,Wells Fargo & Company,Finance,Major Banks,Financial,XLF,5
CRM,Salesforce Inc.,Technology Services,Packaged Software,Technology,XLK,10
MS,Morgan Stanley,Finance,Investment Banks/Brokers,Financial,XLF,5
ABT,Abbott Laboratories,Health Technology,Medical Specialties,Health Care,XLV,6
LIN,Linde plc,Process Industries,Chemicals: Specialty,Materials,XLB,8
IBM,International Business Machines Corporation,Technology Services,Information Technology Services,Technology,XLK,10
MCD,McDonald's Corporation,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
AXP,American Express Company,Finance,Finance/Rental/Leasing,Financial,XLF,5
BX,Blackstone Inc.,Finance,Investment Managers,Financial,XLF,5
GS,The Goldman Sachs Group Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
MRK,Merck & Co. Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
DIS,The Walt Disney Company,Consumer Services,Movies/Entertainment,Communication Services,XLC,2
T,AT&T Inc.,Communications,Major Telecommunications,Communication Services,XLC,2
RTX,RTX Corporation,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
PEP,PepsiCo Inc.,Consumer Non-durables,Beverages: Non-Alcoholic,Consumer Staples,XLP,4
INTU,Intuit Inc.,Technology Services,Packaged Software,Technology,XLK,10
